,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
178,David Odonkor,Right Winger,22,Bor. Dortmund,1.Bundesliga,Real Betis,LaLiga,2006-2007,4500000.0,6500000
179,Stephen Makinwa,Centre-Forward,22,US Palermo,Serie A,Lazio,Serie A,2006-2007,4000000.0,6300000
180,Alou Diarra,Defensive Midfield,25,Lens,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,5000000.0,6250000
181,Costinha,Defensive Midfield,31,Dinamo Moscow,Premier Liga,Atlético Madrid,LaLiga,2006-2007,15000000.0,6000000
182,Mark van Bommel,Defensive Midfield,29,FC Barcelona,LaLiga,Bayern Munich ,1.Bundesliga,2006-2007,12000000.0,6000000
183,Nikola Zigic,Centre-Forward,25,Red Star,SuperLiga,Racing,LaLiga,2006-2007,8000000.0,6000000
184,Georgios Seitaridis,Right-Back,25,Dinamo Moscow,Premier Liga,Atlético Madrid,LaLiga,2006-2007,8000000.0,6000000
185,Diego,Attacking Midfield,21,FC Porto,Liga NOS,Werder Bremen,1.Bundesliga,2006-2007,8000000.0,6000000
186,Joris Mathijsen,Centre-Back,26,AZ Alkmaar,Eredivisie,Hamburger SV,1.Bundesliga,2006-2007,6000000.0,6000000
187,Ilan,Centre-Forward,25,FC Sochaux,Ligue 1,Saint-Étienne,Ligue 1,2006-2007,5000000.0,6000000
188,Fernando Navarro,Left-Back,24,FC Barcelona,LaLiga,RCD Mallorca,LaLiga,2006-2007,2500000.0,6000000
189,Gary McSheffrey,Left Winger,23,Coventry City,Championship,Birmingham,Championship,2006-2007,1250000.0,6000000
190,Sidi Keita,Defensive Midfield,21,R. Strasbourg,Ligue 2,Lens,Ligue 1,2006-2007,1000000.0,6000000
191,Javi Martínez,Defensive Midfield,17,CA Osasuna B,2ª B - Grupo III,Athletic Bilbao,LaLiga,2006-2007,6000000.0,6000000
192,Sébastien Frey,Goalkeeper,26,Parma,Serie A,Fiorentina,Serie A,2006-2007,15000000.0,5750000
193,Edú Dracena,Centre-Back,25,Cruzeiro,Série A,Fenerbahce,Süper Lig,2006-2007,1500000.0,5700000
194,Ramón,Attacking Midfield,18,Corinthians,Série A,CSKA Moscow,Premier Liga,2006-2007,6000000.0,5650000
195,Yaya Touré,Central Midfield,23,Olympiacos,Super League,Monaco,Ligue 1,2006-2007,8000000.0,5500000
196,Fabio Grosso,Left-Back,28,US Palermo,Serie A,Inter,Serie A,2006-2007,7000000.0,5500000
197,Daniel Moreira,Second Striker,28,Toulouse,Ligue 1,Stade Rennais,Ligue 1,2006-2007,7000000.0,5500000
198,Mario Santana,Second Striker,24,US Palermo,Serie A,Fiorentina,Serie A,2006-2007,6500000.0,5500000
199,Fábio Simplício,Central Midfield,26,Parma,Serie A,US Palermo,Serie A,2006-2007,6000000.0,5500000
200,Matías Delgado,Attacking Midfield,23,FC Basel,Super League,Besiktas,Süper Lig,2006-2007,6000000.0,5500000
201,Souleymane Diawara,Centre-Back,27,FC Sochaux,Ligue 1,Charlton,Premier League,2006-2007,4000000.0,5400000
